,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
0,vila velha,-20.3297,-40.2925,86.0,66,20,12.66,BR,1612639871
1,albany,42.6001,-73.9662,37.4,35,75,13.8,US,1612639930
2,tiruvidaimarudur,10.996,79.4521,68.0,89,0,7.4,IN,1612639930
3,ushuaia,-54.8,-68.3,55.4,67,20,21.85,AR,1612639930
4,bethel,41.3712,-73.414,42.8,31,40,13.8,US,1612639660
5,aykhal,66.0,111.5,-33.25,81,5,6.29,RU,1612639931
6,yellowknife,62.456,-114.3525,-38.0,67,1,3.44,CA,1612639858
7,port-cartier,50.0334,-66.8654,30.99,93,100,1.14,CA,1612639931
8,ambilobe,-13.2,49.05,74.35,91,99,1.68,MG,1612639931
9,yar-sale,66.8333,70.8333,-31.11,84,100,15.1,RU,1612639931
10,aquiraz,-3.9014,-38.3911,86.0,62,20,12.66,BR,1612639931
11,caravelas,-17.7125,-39.2481,78.22,89,100,10.76,BR,1612639931
12,tiksi,71.6872,128.8694,-24.47,86,100,5.17,RU,1612639651
13,saint-philippe,-21.3585,55.7679,78.8,83,75,3.44,RE,1612639931
14,bluff,-46.6,168.3333,55.36,79,5,4.23,NZ,1612639931
15,jocotan,14.8167,-89.3833,96.8,30,0,11.5,GT,1612639932
16,sao luis,-2.5297,-44.3028,87.8,66,20,16.11,BR,1612639642
17,pemangkat,1.1667,108.9667,76.68,89,99,4.5,ID,1612639932
18,mataura,-46.1927,168.8643,52.36,88,0,1.95,NZ,1612639648
19,port macquarie,-31.4333,152.9167,69.8,100,90,5.75,AU,1612639932
20,misawa,40.6836,141.3597,33.01,68,41,1.01,JP,1612639932
21,east london,-33.0153,27.9116,73.4,94,20,2.3,ZA,1612639932
22,qaqortoq,60.7167,-46.0333,33.8,29,20,14.97,GL,1612639804
23,nemuro,43.3236,145.575,26.11,98,100,10.67,JP,1612639681
24,vanavara,60.34,102.2797,3.43,94,100,6.67,RU,1612639854
25,vaini,-21.2,-175.2,77.0,83,75,5.75,TO,1612639932
26,new norfolk,-42.7826,147.0587,59.0,70,99,3.0,AU,1612639933
27,yulara,-25.2406,130.9889,75.2,31,0,10.36,AU,1612639933
28,parana,-31.732,-60.5238,91.99,30,0,1.99,AR,1612639933
29,port elizabeth,-33.918,25.5701,68.0,88,75,14.97,ZA,1612639933
30,hermanus,-34.4187,19.2345,68.0,88,96,6.82,ZA,1612639933
31,port blair,11.6667,92.75,78.58,76,39,7.99,IN,1612639715
32,hambantota,6.1241,81.1185,73.4,100,20,4.61,LK,1612639933
33,thompson,55.7435,-97.8558,-27.4,56,75,16.11,CA,1612639933
34,marsa matruh,31.3525,27.2453,59.0,82,0,4.61,EG,1612639933
35,los andes,-32.8337,-70.5983,78.01,99,0,1.99,CL,1612639934
36,cape town,-33.9258,18.4232,72.0,78,40,11.5,ZA,1612639720
37,castro,-24.7911,-50.0119,75.83,54,0,4.32,BR,1612639934
38,airai,-8.9266,125.4092,60.21,100,100,2.21,TL,1612639934
39,georgetown,5.4112,100.3354,82.0,89,20,3.44,MY,1612639813
40,marawi,7.9986,124.2928,73.0,93,100,5.99,PH,1612639934
41,lebu,-37.6167,-73.65,62.49,79,52,6.62,CL,1612639827
42,dingtao,35.0683,115.5625,47.23,46,22,5.53,CN,1612639934
43,longyearbyen,78.2186,15.6401,21.2,73,75,1.14,SJ,1612639681
44,san patricio,28.017,-97.5169,71.6,73,75,5.75,US,1612639657
45,rikitea,-23.1203,-134.9692,77.85,73,100,11.72,PF,1612639934
46,san cristobal,7.7669,-72.225,89.6,51,40,9.22,VE,1612639935
47,tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,21.85,CA,1612639679
48,banjar,-8.19,114.9675,78.8,89,20,4.61,ID,1612639935
49,narsaq,60.9167,-46.05,33.8,29,20,14.97,GL,1612639774
50,kodiak,57.79,-152.4072,26.6,74,1,3.44,US,1612639935
51,sao filipe,14.8961,-24.4956,70.07,75,92,14.14,CV,1612639935
52,la ronge,55.1001,-105.2842,-23.8,62,63,6.91,CA,1612639935
53,mandera,3.9366,41.867,81.9,34,1,0.38,KE,1612639736
54,lagoa,39.05,-27.9833,60.19,87,100,24.76,PT,1612639935
55,muisne,0.6,-80.0333,84.2,84,75,4.61,EC,1612639935
56,upernavik,72.7868,-56.1549,19.62,78,100,4.43,GL,1612639936
57,erenhot,43.6475,111.9767,1.81,82,19,0.56,CN,1612639936
58,chokurdakh,70.6333,147.9167,-21.51,87,61,7.49,RU,1612639936
59,tasiilaq,65.6145,-37.6368,32.0,74,75,44.87,GL,1612639661
60,bengkulu,-3.8004,102.2655,76.37,78,99,5.03,ID,1612639650
61,naze,28.3667,129.4833,60.53,82,99,9.53,JP,1612639936
62,lata,40.1629,-8.3327,53.01,79,66,4.0,PT,1612639936
63,kidal,18.4411,1.4078,74.75,17,43,9.64,ML,1612639865
64,klaksvik,62.2266,-6.589,33.8,64,40,21.85,FO,1612639937
65,deputatskiy,69.3,139.9,-33.14,86,3,1.88,RU,1612639937
66,toyooka,35.5333,134.8333,42.93,74,0,5.1,JP,1612639888
67,iskateley,67.6803,53.1512,-27.85,85,94,11.9,RU,1612639937
68,dubrovka,53.6907,33.5071,-1.89,92,85,8.68,RU,1612639937
69,hasaki,35.7333,140.8333,39.2,81,20,4.61,JP,1612639937
70,faya,18.3851,42.4509,51.8,87,0,4.56,SA,1612639937
